
=====================================================================
 Run #0 / Number of event processed : 1000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          2.790e-17              0.746
     200|               8.683          8.693e-17              0.373
     300|               0.022          0.000e+00              1.000
     301|               0.090          0.000e+00              1.000
     302|               0.028          0.000e+00              1.000
     303|              11.291          5.534e-17              0.378
     400|               0.141          3.317e-20              1.000
     401|               0.390          8.618e-18              1.000
     402|               0.098          1.312e-17              1.000
     403|               0.049          7.137e-18              1.000
     404|               0.098          3.522e-18              1.000
     405|              28.808          6.134e-17              0.242
     500|               0.086          4.032e-17              0.588
     501|               0.024          0.000e+00              1.000
     600|               0.023          0.000e+00              1.000
     700|              10.364          4.887e-17              0.429
     800|               0.025          4.392e-16              0.948
     801|               0.031          5.323e-17              0.780
     802|               0.052          7.641e-17              0.873
     803|               0.130          1.528e-16              0.928
     804|               0.026          1.013e-16              0.707
     805|               0.052          6.913e-17              0.838
     806|               0.052          7.688e-17              0.901
     807|               0.053          2.040e-16              0.948
     808|               2.777          2.310e-17              0.746
     900|               1.504          4.238e-17              1.000
     910|               6.944          2.249e-17              0.562
    1000|             193.197          5.234e-17              0.092
    1010|             444.035          5.648e-17              0.062
    1100|              32.463          6.019e-17              0.211
    1110|             167.269          7.529e-17              0.087
    1200|             108.832          6.531e-17              0.113
    1210|             389.741          5.284e-17              0.068
    1300|             159.196          4.749e-17              0.120
    1400|             145.689          4.175e-17              0.138
    1500|              34.244          5.359e-17              0.241
    1600|             106.720          6.915e-17              0.118
    1700|              50.890          4.844e-17              0.197
    1800|              37.397          7.788e-17              0.175
    1900|             273.409          7.175e-17              0.074
    2000|             154.981          7.732e-17              0.099
    2100|              22.996          7.236e-17              0.243
    2200|             181.529          7.774e-17              0.082
    2300|             118.927          7.953e-17              0.107
    2400|              48.252          3.346e-17              0.249
    2500|              45.057          2.791e-17              0.267
    2600|             568.469          4.119e-17              0.064
    2700|             382.073          4.890e-17              0.074
    2800|             253.548          5.688e-17              0.081
    2900|             413.232          6.426e-17              0.065
    3000|              26.045          8.786e-17              0.217
    3100|             307.761          6.173e-17              0.072
    3200|             373.652          5.679e-17              0.073
    3300|              82.179          7.249e-17              0.134
    3400|             536.651          5.121e-17              0.061
    3500|             621.408          5.184e-17              0.059
    3600|              79.815          6.899e-17              0.140
    3700|             234.882          4.847e-17              0.091
    3800|             432.615          5.589e-17              0.069
    3900|              76.877          6.092e-17              0.151
    4000|              56.287          6.084e-17              0.182
    4100|             402.595          5.898e-17              0.062
    4200|             619.672          6.041e-17              0.053
    4300|             368.797          5.006e-17              0.063
    4400|             457.351          5.060e-17              0.065
    4500|             223.333          3.022e-17              0.110
    4600|             156.670          3.442e-17              0.138
    4700|             103.943          2.754e-17              0.188
    4800|              78.915          3.110e-17              0.192
    4900|             289.440          3.138e-17              0.090
    5000|             345.222          3.829e-17              0.085
    5100|             188.047          5.093e-17              0.093
    5200|             291.584          5.620e-17              0.079
    5300|             110.320          4.386e-17              0.129
    5400|             192.224          6.043e-17              0.094
    5500|               9.991          4.699e-17              0.340
    5600|              61.420          4.832e-17              0.179
    5700|              56.331          3.288e-17              0.215
    5800|              82.063          5.285e-17              0.140
    6100|            1517.390          4.115e-17              0.045
    6200|               7.769          2.628e-17              0.549
    6300|               5.180          5.414e-17              0.570
    6400|               7.769          7.280e-17              0.474
    6500|               5.180          1.411e-16              0.366
    6600|               0.039          1.783e-15              1.000
    6601|               0.189          0.000e+00              1.000
    6700|               1.113          8.188e-17              0.569
    6701|               0.308          2.496e-17              1.000
    6702|               6.122          4.396e-17              0.589
    6800|               0.039          0.000e+00              1.000
    6801|               0.189          4.366e-16              1.000
    6900|               1.113          3.609e-17              0.884
    6901|               0.308          1.106e-15              0.609
    6902|               6.122          2.867e-17              0.693
    7000|              10.364          6.527e-17              0.318
    7100|              58.000          1.123e-16              0.132
    7200|               1.784          3.400e-17              0.454
    7201|               1.193          3.999e-17              0.558
    7202|               6.008          4.392e-17              0.331
    7203|             185.286          4.042e-17              0.113
    7300|             250.000          3.872e-17              0.101
    7400|              14.547          5.967e-17              0.159
    7401|               2.264          4.354e-17              0.224
    7402|               5.692          5.260e-17              0.191
    7403|             840.096          5.652e-17              0.046
    7500|              53.337          6.702e-17              0.128
    7501|             296.663          5.012e-17              0.082
    7600|               3.071          4.227e-17              0.418
    7601|               0.223          1.229e-17              0.574
    7602|             116.634          1.036e-16              0.097
    7700|              55.000          7.299e-17              0.150
    7800|               3.993          4.776e-17              0.428
    7801|               0.289          7.535e-17              0.524
    7802|              75.671          8.182e-17              0.124
    7900|              95.000          7.510e-17              0.122
    8000|               2.824          5.682e-17              0.564
    8001|               0.205          4.962e-17              0.700
    8002|              76.924          3.765e-17              0.179
    8100|              40.000          4.100e-17              0.223
    8200|               2.779          3.149e-17              0.544
    8201|               0.203          8.233e-18              0.540
    8202|             116.946          2.893e-17              0.172
    8300|              35.000          2.603e-17              0.249
    8400|               4.451          1.308e-17              0.839
    8401|               0.324          1.038e-17              0.846
    8402|              48.524          3.651e-17              0.218
    8500|              75.000          3.557e-17              0.194
    8600|              39.976          5.422e-17              0.211
    8700|             385.839          4.216e-17              0.077
    8800|             510.000          4.111e-17              0.072
    8900|             162.338          3.241e-17              0.136
    9000|              38.359          4.387e-17              0.244
    9100|               7.652          3.857e-17              0.491
    9200|             166.542          7.735e-17              0.092
    9300|              39.362          9.930e-17              0.159
    9400|               7.892          1.349e-16              0.315
    9500|            2360.000          7.651e-17              0.027
    9700|             545.877          2.524e-17              0.083
    9900|             652.861          5.922e-17              0.054
   10000|              15.949          4.315e-17              0.332
   10100|              15.949          3.732e-17              0.373
   10200|               5.510          6.841e-17              0.606
   10300|             130.204          5.563e-17              0.105
   10400|              11.019          4.443e-17              0.462
   10500|              11.019          5.334e-17              0.368
   10600|            1200.828          3.904e-17              0.050
   10700|           14844.730          5.234e-17              0.013
   10800|            2843.507          7.394e-17              0.024
   10900|           10887.729          5.833e-17              0.014
   11000|               1.919          4.123e-17              0.623
   11001|               0.103          1.626e-17              0.609
   11002|              49.783          4.256e-17              0.233
   11003|              22.870          3.898e-17              0.324
   11300|             173.631          4.921e-17              0.109
   11400|               0.622          5.456e-18              1.000
   11500|              17.618          6.906e-17              0.285
   11600|             975.622          4.260e-17              0.050
   11700|           11176.900          5.504e-17              0.014
   11800|            1549.842          7.339e-17              0.030
   11900|            4510.134          6.137e-17              0.020
   12000|              44.045          1.971e-17              0.332
   12100|              44.045          4.680e-17              0.226
   12200|             259.230          4.091e-17              0.088
   12201|               8.470          3.498e-17              0.173
   12300|            1271.006          5.542e-17              0.035
   12301|              38.418          4.213e-17              0.083
   12400|             575.709          6.426e-17              0.046
   12401|              18.843          5.412e-17              0.112
   12500|            1259.982          5.463e-17              0.036
   12501|              37.790          4.800e-17              0.082
   12600|              37.952          3.610e-17              0.254
   12700|             228.400          2.514e-17              0.131
   12800|              50.727          4.417e-17              0.208
   12801|               0.043          0.000e+00              1.000
   12900|              18.617          8.152e-17              0.265
   13000|              18.617          5.787e-17              0.283
   13100|              25.909          1.313e-17              0.301
   13200|              23.351          1.841e-17              0.376
   13300|              20.993          5.702e-17              0.268
   13301|              54.552          6.203e-17              0.184
   13400|               3.109          6.591e-17              0.506
   13500|               8.809          2.983e-17              0.432
   13600|               7.773          7.982e-17              0.328
   13700|              49.781          5.507e-17              0.184
   13701|               1.318          3.708e-17              0.398
   13800|             200.000          5.275e-17              0.097
   14000|               0.140          1.876e-17              0.551
=====================================================================

