
=====================================================================
 Run #0 / Number of event processed : 1000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          2.063e-19              1.000
     200|               8.683          2.218e-20              1.000
     300|               0.022          0.000e+00              1.000
     301|               0.090          0.000e+00              1.000
     302|               0.028          0.000e+00              1.000
     303|              11.291          5.174e-18              0.998
     400|               0.141          0.000e+00              1.000
     401|               0.390          0.000e+00              1.000
     402|               0.098          0.000e+00              1.000
     403|               0.049          0.000e+00              1.000
     404|               0.098          0.000e+00              1.000
     405|              28.808          7.720e-21              1.000
     500|               0.086          0.000e+00              1.000
     501|               0.024          0.000e+00              1.000
     600|               0.023          0.000e+00              1.000
     700|              10.364          0.000e+00              1.000
     800|               0.025          0.000e+00              1.000
     801|               0.031          0.000e+00              1.000
     802|               0.052          0.000e+00              1.000
     803|               0.130          0.000e+00              1.000
     804|               0.026          0.000e+00              1.000
     805|               0.052          0.000e+00              1.000
     806|               0.052          0.000e+00              1.000
     807|               0.053          0.000e+00              1.000
     808|               2.777          0.000e+00              1.000
     900|               1.504          0.000e+00              1.000
     910|               6.944          0.000e+00              1.000
    1000|             193.197          3.033e-19              0.888
    1010|             444.035          1.654e-19              0.639
    1100|              32.463          1.348e-17              0.401
    1110|             167.269          2.416e-18              0.477
    1200|             108.832          9.250e-19              0.975
    1210|             389.741          2.603e-18              0.356
    1300|             159.196          1.482e-19              0.578
    1400|             145.689          2.165e-19              0.514
    1500|              34.244          0.000e+00              1.000
    1600|             106.720          2.406e-19              0.532
    1700|              50.890          2.434e-19              0.787
    1800|              37.397          1.242e-19              1.000
    1900|             273.409          2.495e-18              0.413
    2000|             154.981          6.137e-19              0.593
    2100|              22.996          4.222e-20              1.000
    2200|             181.529          1.198e-17              0.222
    2300|             118.927          1.141e-18              0.617
    2400|              48.252          0.000e+00              1.000
    2500|              45.057          0.000e+00              1.000
    2600|             568.469          3.340e-19              0.385
    2700|             382.073          8.233e-20              0.576
    2800|             253.548          1.873e-20              1.000
    2900|             413.232          8.293e-20              0.598
    3000|              26.045          0.000e+00              1.000
    3100|             307.761          4.494e-20              0.711
    3200|             373.652          1.162e-19              0.567
    3300|              82.179          0.000e+00              1.000
    3400|             536.651          2.153e-19              0.418
    3500|             621.408          3.264e-20              0.512
    3600|              79.815          7.463e-21              1.000
    3700|             234.882          4.980e-19              0.539
    3800|             432.615          1.051e-19              0.372
    3900|              76.877          2.857e-19              0.560
    4000|              56.287          2.569e-19              0.650
    4100|             402.595          9.177e-20              0.418
