
=====================================================================
 Run #0 / Number of event processed : 1000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          0.000e+00              1.000
     200|               8.683          0.000e+00              1.000
     300|               0.022          0.000e+00              1.000
     301|               0.090          0.000e+00              1.000
     302|               0.028          0.000e+00              1.000
     303|              11.291          0.000e+00              1.000
     400|               0.141          0.000e+00              1.000
     401|               0.390          0.000e+00              1.000
     402|               0.098          0.000e+00              1.000
     403|               0.049          0.000e+00              1.000
     404|               0.098          0.000e+00              1.000
     405|              28.808          2.481e-20              1.000
     500|               0.086          0.000e+00              1.000
     501|               0.024          0.000e+00              1.000
     600|               0.023          0.000e+00              1.000
     700|              10.364          0.000e+00              1.000
     800|               0.025          0.000e+00              1.000
     801|               0.031          0.000e+00              1.000
     802|               0.052          0.000e+00              1.000
     803|               0.130          0.000e+00              1.000
     804|               0.026          0.000e+00              1.000
     805|               0.052          0.000e+00              1.000
     806|               0.052          0.000e+00              1.000
     807|               0.053          0.000e+00              1.000
     808|               2.777          0.000e+00              1.000
     900|               1.504          0.000e+00              1.000
     910|               6.944          0.000e+00              1.000
    1000|             193.197          1.743e-19              0.741
    1010|             444.035          1.118e-19              0.670
    1100|              32.463          1.032e-17              0.521
    1110|             167.269          3.153e-18              0.486
    1200|             108.832          1.887e-18              0.698
    1210|             389.741          9.105e-19              0.427
    1300|             159.196          5.507e-20              0.971
    1400|             145.689          0.000e+00              1.000
    1500|              34.244          9.502e-21              1.000
    1600|             106.720          5.130e-19              0.444
    1700|              50.890          0.000e+00              1.000
    1800|              37.397          4.111e-19              0.946
    1900|             273.409          6.225e-19              0.723
    2000|             154.981          1.068e-19              0.476
    2100|              22.996          0.000e+00              1.000
    2200|             181.529          1.143e-17              0.222
    2300|             118.927          8.112e-20              0.680
    2400|              48.252          5.098e-20              0.732
    2500|              45.057          0.000e+00              1.000
    2600|             568.469          1.844e-19              0.666
    2700|             382.073          3.448e-20              0.711
    2800|             253.548          1.221e-19              0.469
    2900|             413.232          2.633e-19              0.761
    3000|              26.045          0.000e+00              1.000
    3100|             307.761          2.511e-19              0.369
    3200|             373.652          2.700e-20              0.576
    3300|              82.179          1.795e-19              0.935
    3400|             536.651          2.958e-19              0.315
    3500|             621.408          6.883e-20              0.406
    3600|              79.815          0.000e+00              1.000
    3700|             234.882          3.154e-18              0.343
    3800|             432.615          3.741e-19              0.655
    3900|              76.877          1.036e-19              0.878
    4000|              56.287          2.466e-19              1.000
    4100|             402.595          8.186e-20              0.416
    4200|             619.672          6.463e-20              0.491
    4300|             368.797          5.773e-18              0.202
    4400|             457.351          1.007e-18              0.392
    4500|             223.333          0.000e+00              1.000
    4600|             156.670          3.866e-19              0.840
    4700|             103.943          3.290e-19              0.725
    4800|              78.915          0.000e+00              1.000
    4900|             289.440          6.929e-20              0.799
    5000|             345.222          3.084e-20              0.710
    5100|             188.047          0.000e+00              1.000
    5200|             291.584          1.300e-19              0.837
    5300|             110.320          0.000e+00              1.000
    5400|             192.224          3.255e-20              1.000
    5500|               9.991          0.000e+00              1.000
    5600|              61.420          7.286e-20              1.000
    5700|              56.331          6.159e-21              1.000
    5800|              82.063          3.345e-21              1.000
    6100|            1517.390          2.242e-19              0.755
    6200|               7.769          0.000e+00              1.000
    6300|               5.180          0.000e+00              1.000
    6400|               7.769          1.369e-17              0.974
    6500|               5.180          3.429e-19              1.000
    6600|               0.039          0.000e+00              1.000
    6601|               0.189          0.000e+00              1.000
    6700|               1.113          3.370e-17              1.000
    6701|               0.308          0.000e+00              1.000
    6702|               6.122          0.000e+00              1.000
    6800|               0.039          0.000e+00              1.000
    6801|               0.189          0.000e+00              1.000
    6900|               1.113          4.818e-17              1.000
    6901|               0.308          0.000e+00              1.000
    6902|               6.122          0.000e+00              1.000
    7000|              10.364          0.000e+00              1.000
    7100|              58.000          4.466e-20              0.709
    7200|               1.784          0.000e+00              1.000
    7201|               1.193          0.000e+00              1.000
    7202|               6.008          0.000e+00              1.000
    7203|             185.286          0.000e+00              1.000
    7300|             250.000          0.000e+00              1.000
    7400|              14.547          0.000e+00              1.000
    7401|               2.264          0.000e+00              1.000
    7402|               5.692          0.000e+00              1.000
    7403|             840.096          2.157e-19              0.836
    7500|              53.337          5.442e-21              1.000
    7501|             296.663          3.041e-20              0.575
    7600|               3.071          0.000e+00              1.000
    7601|               0.223          0.000e+00              1.000
    7602|             116.634          2.106e-19              0.581
    7700|              55.000          0.000e+00              1.000
    7800|               3.993          0.000e+00              1.000
    7801|               0.289          0.000e+00              1.000
    7802|              75.671          5.363e-20              1.000
    7900|              95.000          0.000e+00              1.000
    8000|               2.824          0.000e+00              1.000
    8001|               0.205          0.000e+00              1.000
    8002|              76.924          7.166e-20              1.000
    8100|              40.000          0.000e+00              1.000
    8200|               2.779          0.000e+00              1.000
    8201|               0.203          0.000e+00              1.000
    8202|             116.946          1.767e-19              1.000
    8300|              35.000          1.372e-19              1.000
    8400|               4.451          0.000e+00              1.000
    8401|               0.324          0.000e+00              1.000
    8402|              48.524          1.067e-19              1.000
    8500|              75.000          1.040e-19              1.000
    8600|              39.976          1.217e-19              1.000
    8700|             385.839          2.660e-20              0.710
    8800|             510.000          2.075e-20              0.857
    8900|             162.338          7.971e-20              0.725
    9000|              38.359          0.000e+00              1.000
    9100|               7.652          0.000e+00              1.000
    9200|             166.542          3.841e-20              0.703
    9300|              39.362          3.209e-19              0.949
    9400|               7.892          9.281e-19              0.960
    9500|            2360.000          7.885e-20              0.379
    9700|             545.877          3.068e-20              0.763
    9900|             652.861          1.252e-20              0.762
   10000|              15.949          0.000e+00              1.000
   10100|              15.949          0.000e+00              1.000
   10200|               5.510          0.000e+00              1.000
   10300|             130.204          0.000e+00              1.000
   10400|              11.019          6.564e-18              1.000
   10500|              11.019          0.000e+00              1.000
   10600|            1200.828          8.843e-19              0.287
   10700|           14844.730          1.071e-18              0.083
   10800|            2843.507          1.011e-17              0.065
   10900|           10887.729          3.362e-18              0.057
   11000|               1.919          0.000e+00              1.000
   11001|               0.103          0.000e+00              1.000
   11002|              49.783          0.000e+00              1.000
   11003|              22.870          0.000e+00              1.000
   11300|             173.631          1.241e-20              0.956
   11400|               0.622          0.000e+00              1.000
   11500|              17.618          8.923e-19              1.000
   11600|             975.622          5.067e-17              0.052
   11700|           11176.900          2.636e-17              0.022
   11800|            1549.842          1.694e-16              0.023
   11900|            4510.134          5.455e-17              0.023
   12000|              44.045          0.000e+00              1.000
   12100|              44.045          1.537e-17              0.364
   12200|             259.230          4.178e-16              0.031
   12201|               8.470          6.960e-16              0.045
   12300|            1271.006          5.206e-16              0.013
   12301|              38.418          9.603e-16              0.018
   12400|             575.709          8.950e-16              0.014
   12401|              18.843          1.357e-15              0.021
   12500|            1259.982          4.918e-16              0.013
   12501|              37.790          8.456e-16              0.019
   12600|              37.952          3.285e-21              1.000
   12700|             228.400          0.000e+00              1.000
   12800|              50.727          0.000e+00              1.000
   12801|               0.043          0.000e+00              1.000
   12900|              18.617          0.000e+00              1.000
   13000|              18.617          0.000e+00              1.000
   13100|              25.909          0.000e+00              1.000
   13200|              23.351          5.916e-19              1.000
   13300|              20.993          0.000e+00              1.000
   13301|              54.552          0.000e+00              1.000
   13400|               3.109          0.000e+00              1.000
   13500|               8.809          0.000e+00              1.000
   13600|               7.773          0.000e+00              1.000
   13700|              49.781          0.000e+00              1.000
   13701|               1.318          0.000e+00              1.000
   13800|             200.000          3.029e-20              0.975
   14000|               0.140          0.000e+00              1.000
=====================================================================

