
=====================================================================
 Run #0 / Number of event processed : 1000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               6.817          4.493e-19              0.484
     200|               8.649          1.196e-18              0.428
     300|               0.009          0.000e+00              1.000
     301|               0.035          0.000e+00              1.000
     302|               0.011          0.000e+00              1.000
     303|               4.375          5.584e-18              0.435
     400|               0.104          0.000e+00              1.000
     401|               0.288          1.140e-17              1.000
     402|               0.072          0.000e+00              1.000
     403|               0.036          0.000e+00              1.000
     404|               0.072          0.000e+00              1.000
     405|              14.180          2.154e-18              0.356
     500|               0.066          0.000e+00              1.000
     501|               0.016          0.000e+00              1.000
     600|               0.019          0.000e+00              1.000
     700|               8.201          1.681e-18              0.470
     800|               0.010          0.000e+00              1.000
     801|               0.013          0.000e+00              1.000
     802|               0.021          0.000e+00              1.000
     803|               0.053          0.000e+00              1.000
     804|               0.011          0.000e+00              1.000
     805|               0.021          0.000e+00              1.000
     806|               0.021          0.000e+00              1.000
     807|               0.021          0.000e+00              1.000
     808|               1.179          3.652e-18              1.000
     900|               1.906          1.697e-18              0.708
     910|               3.007          0.000e+00              1.000
    1000|             117.872          1.481e-18              0.158
    1010|             239.851          1.818e-18              0.101
    1100|              46.312          1.965e-18              0.217
    1110|             139.528          2.696e-18              0.108
    1200|              79.906          2.640e-18              0.161
    1210|             355.612          1.733e-18              0.097
    1300|             113.681          4.823e-18              0.142
    1400|             107.717          3.575e-18              0.154
    1500|              20.516          1.182e-18              0.340
    1600|             103.296          3.532e-18              0.149
    1700|              50.264          1.833e-18              0.253
    1800|              20.493          4.099e-18              0.269
    1900|             156.708          6.186e-18              0.107
    2000|              86.883          3.876e-18              0.156
    2100|              34.068          5.313e-18              0.176
    2200|             105.132          6.389e-18              0.126
    2300|              69.360          3.530e-18              0.190
    2400|              32.825          3.284e-18              0.349
    2500|              38.798          1.334e-18              0.370
    2600|             407.670          3.493e-18              0.085
    2700|             391.311          2.129e-18              0.102
    2800|             244.126          6.395e-18              0.081
    2900|             232.804          2.463e-18              0.108
    3000|              39.516          2.607e-18              0.206
    3100|             240.929          4.990e-18              0.100
    3200|             166.334          3.741e-18              0.158
    3300|              56.762          1.851e-18              0.254
    3400|             544.845          3.455e-18              0.076
    3500|             558.529          2.551e-18              0.078
    3600|              88.883          1.852e-18              0.164
    3700|             173.476          4.028e-18              0.123
    3800|             257.451          1.849e-18              0.113
    3900|              45.394          4.933e-18              0.212
    4000|              33.479          3.334e-18              0.323
    4100|             262.458          4.909e-18              0.088
    4200|             455.599          2.520e-18              0.081
    4300|             164.504          3.938e-18              0.112
    4400|             277.325          2.233e-18              0.104
    4500|             121.664          2.828e-18              0.169
    4600|              96.730          1.604e-18              0.250
    4700|              71.596          2.617e-18              0.226
    4800|              75.601          9.935e-19              0.305
    4900|             205.828          3.112e-18              0.141
    5000|             271.915          1.053e-18              0.140
    5100|             156.175          4.999e-18              0.112
    5200|             264.976          2.487e-18              0.112
    5300|              80.240          2.796e-18              0.220
    5400|             154.840          1.691e-18              0.159
    5500|               1.685          1.444e-19              1.000
    5600|              51.347          2.286e-18              0.229
    5700|              41.959          2.708e-18              0.184
    5800|              69.351          2.676e-18              0.208
    6100|            1349.568          1.872e-18              0.061
    6200|             153.663          8.631e-19              0.190
    6300|             102.491          5.821e-19              0.275
    6400|             153.663          4.798e-18              0.090
    6500|             102.491          4.925e-18              0.117
    6600|               0.039          0.000e+00              1.000
    6601|               0.189          0.000e+00              1.000
    6700|               1.100          1.088e-17              0.622
    6701|               0.304          0.000e+00              1.000
    6702|               6.051          9.881e-19              0.705
    6800|               0.039          0.000e+00              1.000
    6801|               0.189          0.000e+00              1.000
    6900|               1.100          0.000e+00              1.000
    6901|               0.304          0.000e+00              1.000
    6902|               6.051          1.776e-18              0.468
    7000|               8.201          2.806e-18              0.392
    7100|              48.000          3.092e-18              0.170
    7200|               1.561          0.000e+00              1.000
    7201|               1.044          9.553e-19              1.000
    7202|               5.256          2.873e-18              0.485
    7203|             165.012          1.001e-18              0.178
    7300|             230.000          7.176e-19              0.179
    7400|              12.341          1.358e-18              0.502
    7401|               1.922          1.933e-19              0.722
    7402|               4.831          2.302e-18              0.479
    7403|             736.662          1.721e-18              0.071
    7500|              45.227          1.253e-18              0.280
    7501|             234.773          1.625e-18              0.131
    7600|               4.451          4.836e-18              0.393
    7601|               0.322          1.841e-18              1.000
    7602|             107.784          4.318e-18              0.122
    7700|             100.007          4.386e-18              0.117
    7800|               3.680          1.083e-18              0.590
    7801|               0.266          0.000e+00              1.000
    7802|              64.847          3.072e-18              0.176
    7900|              59.995          2.710e-18              0.195
    8000|               2.196          2.220e-19              1.000
    8001|               0.160          0.000e+00              1.000
    8002|              66.428          8.545e-19              0.290
    8100|              30.005          7.015e-19              0.490
    8200|               3.021          5.013e-19              1.000
    8201|               0.220          0.000e+00              1.000
    8202|             109.320          7.790e-19              0.324
    8300|              50.003          6.004e-19              0.423
    8400|               4.222          6.984e-18              0.658
    8401|               0.306          0.000e+00              1.000
    8402|              51.761          9.634e-19              0.296
    8500|              79.993          1.708e-18              0.258
    8600|              31.268          1.985e-18              0.481
    8700|             290.890          1.605e-18              0.118
    8800|             370.000          1.006e-18              0.128
    8900|             149.091          6.884e-19              0.210
    9000|              37.441          1.061e-18              0.452
    9100|               7.494          2.636e-18              0.644
    9200|             125.147          3.836e-18              0.108
    9300|              31.440          4.162e-18              0.217
    9400|               6.292          2.765e-18              0.423
    9500|            1810.000          3.410e-18              0.039
